region,AT_oC_SL_s85,AT_oC_SL_s02,CHIRPS_mm_SL_s85,CHIRPS_mm_SL_s02,TWSrec_mm_SL_s85,TWSrec_mm_SL_s02,GRACE_mm_SL_s02,Total.Area.Deforested_km2,Nat_85_km2,Nat_02_km2,Nat_18_km2,Area.Region_km2,Ant_1985_km2,Ant_2002_km2,Ant_18_km2,CR_2018,Clas_ant.nat.2018,CR_ant2018.nat2002,Clas_ant2018.nat.2002,CR_ant2018.nat1985,Clas_ant2018.nat.1985,AT_trend_s85,AT_trend_s02,CHIRPS_trend_s85,CHIRPS_trend_s02,TWSrec_trend_s85,TWSrec_trend_s02,GRACE_trend_s02
AMZ14,0.001773151,0.0011585,-0.01462222,-0.049348149,-0.041394256,0.227229728,0.250871882,45184,323048,301163,277864,348011,12209,33941,56855,0.204614488,Changing,0.188784811,Changing,0.175995518,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
AMZ15,0.001492064,0.000484296,0.004404885,-0.020565757,-0.030600056,0.510053287,0.255753853,71220,329639,281697,258419,358765,25084,73125,95980,0.371412319,Changing,0.340720703,Changing,0.291167004,Changing,(+)_trend,no_trend,no_trend,no_trend,no_trend,(+)_trend,(+)_trend
AMZ16,0.002267099,0.002794185,-0.024600836,0.007205936,-0.116569001,0.167930108,0.49849191,25704,300670,288837,274967,311100,4681,16606,30250,0.110013202,Changing,0.10473035,Changing,0.100608641,Changing,(+)_trend,(+)_trend,(-)_trend,no_trend,(-)_trend,no_trend,(+)_trend
AMZ17,0.002522037,0.004132215,0.03134498,0.076065337,-0.254164462,-0.290213151,0.520072679,14742,334921,329120,320179,348941,4209,9846,18613,0.058133107,Native,0.056553841,Native,0.0555743,Native,(+)_trend,(+)_trend,(+)_trend,no_trend,(-)_trend,(-)_trend,(+)_trend
AMZ18,0.002331935,0.001629788,0.017814439,0.060788945,-0.090710358,0.689559178,0.159283741,85688,250282,191250,164594,279889,27857,86518,113053,0.686859788,Anthropized,0.591126797,Anthropized,0.45170248,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(+)_trend,no_trend
AMZ19,0.002365478,0.001701017,0.011645847,0.085727495,-0.193957816,0.333514443,-0.005400961,53958,238297,207869,184338,257861,17440,48183,71600,0.38841693,Changing,0.344447705,Changing,0.300465386,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,no_trend
AMZ20,0.002429144,0.003097593,0.025642176,0.070020141,-0.234418762,-0.474920261,0.211072532,36717,285320,266529,248603,298900,5903,23976,41616,0.167399428,Changing,0.156140608,Changing,0.145857283,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,no_trend
CHC01,0.002930014,0.001035287,-0.001483874,0.015777254,-0.175118378,0.225030472,0.370174853,26536, NA ,222185,197870,243348,NA,20723,44993,0.227389347,Changing,0.202504805,Changing,0.202504805,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
CHC02,0.002557322,-0.0000897,0.018870504,0.075012957,-0.315125916,0.43454392,0.656627132,26168, NA ,270951,248036,324871,NA,50472,71919,0.294012966,Changing,0.269147558,Changing,0.269147558,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
CHC03,0.002189978,-0.000174336,0.005665756,0.042174517,-0.21783711,0.124893936,0.530895694,20817, NA ,348763,328893,394722,NA,33999,50659,0.17133323,Changing,0.161571898,Changing,0.161571898,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,no_trend,(+)_trend
CHC04,0.002666865,0.000957754,0.004783935,0.019023887,-0.286186597,-0.376338094,0.233484059,17441, NA ,183773,166842,248779,NA,58055,75299,0.454028722,Changing,0.412199072,Changing,0.412199072,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,no_trend
CHC05,0.002356544,0.0006993,0.003086862,0.006247568,-0.259019744,-0.477069537,-0.187337273,9111, NA ,234531,226378,325506,NA,57622,63139,0.280408034,Changing,0.270660211,Changing,0.270660211,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR01,0.002073605,0.002568017,-0.027725547,-0.040546874,-0.876995256,-1.280812601,-0.144609202,47614,224948,198074,177334,271181,39868,66823,86953,0.493722242,Changing,0.442025405,Changing,0.389217686,Changing,(+)_trend,(+)_trend,(-)_trend,no_trend,(-)_trend,(-)_trend,no_trend
NOR02,0.002961981,0.004127838,-0.0105314,-0.012651367,-0.804841933,-1.197963837,-0.457507038,19677,301701,294664,282024,331633,25400,32732,44963,0.159943161,Changing,0.153082189,Changing,0.149511636,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR03,0.001246592,0.001366366,-0.011792759,-0.027345799,-0.421393351,-0.631749539,-0.654545524,16160,186356,168436,170197,285413,89214,107306,105357,0.619044401,Anthropized,0.625516517,Anthropized,0.565366825,Anthropized,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR04,0.001849871,0.002401772,-0.011539861,-0.02598315,-0.347775966,-0.572381339,-0.777505731,33132,244419,224215,211288,329449,77204,97128,110531,0.523143529,Anthropized,0.492981959,Changing,0.452231414,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR05,0.002583209,0.005636908,-0.009914943,-0.049950761,-0.549126606,-0.832453222,-0.972537617,28727,185576,169039,156849,305542,113971,127688,136036,0.915951648,Anthropized,0.849899136,Anthropized,0.774163146,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR06,0.001522092,0.003197328,-0.017058462,-0.085798237,-0.364848239,-1.011546,-0.697988986,350,119252,115651,118903,319978,188121,186767,177801,1.595379091,Anthropized,1.640239687,Anthropized,1.590710093,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
NOR07,0.001113861,0.00203053,-0.020715383,-0.026302083,-0.140265009,-0.450763921,-0.665377852,13842,131624,117831,117783,253249,117198,130752,129617,1.115403242,Anthropized,1.114948867,Anthropized,0.99811235,Anthropized,(+)_trend,(+)_trend,(-)_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
ORN01,0.000674993,0.000832718,0.011369517,-0.106253807,0.322296129,0.144264535,0.123046882,1673,320533,319310,318859,326743,3072,3640,3847,0.012064894,Native,0.012047853,Native,0.012001884,Native,(+)_trend,no_trend,no_trend,no_trend,(+)_trend,no_trend,no_trend
ORN02,0.000996158,0.001500199,-0.006115573,-0.200680261,0.445510538,0.341427083,0.033638631,9734,338985,332472,329251,355128,7688,13641,16820,0.051085646,Native,0.050590726,Native,0.049618715,Native,(+)_trend,(+)_trend,no_trend,(-)_trend,(+)_trend,no_trend,no_trend
ORN03,0.0014061,0.002601571,0.031274029,-0.14394057,-0.021974157,-0.106846592,-0.228029378,8486,262155,257888,253669,270218,3619,7820,12007,0.047333336,Native,0.046558971,Native,0.045801148,Native,(+)_trend,(+)_trend,no_trend,(-)_trend,no_trend,(-)_trend,(-)_trend
PMP01,0.00123871,0.000174497,0.049219786,-0.019615012,-0.220649503,-0.512338022,-0.404354208,13569, NA ,188181,181506,355273,NA,143337,141257,0.870783721,Anthropized,0.839896004,Anthropized,0.839896004,Anthropized,(+)_trend,no_trend,(+)_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
PMP02,0.002001533,0.002104293,0.019705849,0.009925334,-0.443917556,-1.535551799,-0.845718818,23010, NA ,172127,158384,377220,NA,198493,212064,1.344090691,Anthropized,1.23677552,Anthropized,1.23677552,Anthropized,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
PRT01,0.002164174,-0.000254556,0.000557047,0.020192897,-0.185894004,0.585467262,-0.106885493,30260,168471,144870,138211,225696,45128,72871,80268,0.585341688,Anthropized,0.558436253,Anthropized,0.480205258,Changing,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,no_trend
PRT02,0.0024066,-0.001300678,0.029506382,0.112183005,-0.213746164,0.532292393,0.37627584,29450,125842,102944,96393,250450,116289,144538,146438,1.574387663,Anthropized,1.474199079,Anthropized,1.205956279,Anthropized,(+)_trend,no_trend,no_trend,(+)_trend,(-)_trend,(+)_trend,(+)_trend
PRT03,0.002123962,0.002604513,0.003567218,0.012799464,-0.599424409,-0.093729869,-0.349293539,15114,91995,78470,76882,366020,261816,274474,272441,3.603467131,Anthropized,3.530543647,Anthropized,3.011487146,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,no_trend,(-)_trend
PRT04,0.001669757,0.000638955,0.022707621,0.119635403,-0.227620216,0.580151493,0.494832352,7856,94384,83079,86528,397462,283396,286034,271810,3.370644647,Anthropized,3.510575958,Anthropized,3.090090905,Anthropized,(+)_trend,no_trend,no_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
PRT05,0.000984354,-0.000225453,0.04617576,0.137162775,-0.080355137,0.189890939,0.156849838,27832,226965,218385,199133,392113,145028,148944,156279,0.869852862,Anthropized,0.793169906,Anthropized,0.763185557,Anthropized,(+)_trend,no_trend,(+)_trend,no_trend,(-)_trend,(+)_trend,(+)_trend
TOC01,0.002122951,0.002047285,0.020251602,0.055787689,-0.351459086,-0.470308778,0.154894564,58645,240567,206317,181922,280227,29206,63207,87488,0.481741131,Changing,0.424779878,Changing,0.364303126,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,no_trend
TOC02,0.002390622,0.002490723,-0.013913617,0.000661952,-0.599936302,-0.440239467,-0.295178333,63388,271204,230878,207816,322519,47227,87095,109713,0.528943296,Anthropized,0.476108074,Changing,0.405314376,Changing,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,(-)_trend,(-)_trend
TOC03,0.002596548,0.00323773,-0.005132426,0.020281982,-0.633625642,-0.117748917,-0.510110496,56004,248650,211196,192647,369347,117240,154112,172183,0.895531776,Anthropized,0.816878681,Anthropized,0.693832737,Anthropized,(+)_trend,(+)_trend,no_trend,no_trend,(-)_trend,no_trend,(-)_trend
